Nom item;niveau;taux brisage initial;taux brisage après brisage;nombre d'items brisé en même temps
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 43 ; 1
Pelle de Koutoulou;34; 43 ; 37 ; 100

Pelle Hébuse;94; 110 ; 109 ; 1
Pelle Hébuse;94; 109 ; 107 ; 1
Pelle Hébuse;94; 107 ; 106 ; 1
Pelle Hébuse;94; 106 ; 105 ; 1
Pelle Hébuse;94; 105 ; 104 ; 1
Pelle Hébuse;94; 104 ; 103 ; 1
Pelle Hébuse;94; 103 ; 102 ; 1
Pelle Hébuse;94; 102 ; 101 ; 1
Pelle Hébuse;94; 101 ; 100 ; 1
Pelle Hébuse;94; 100 ; 99 ; 1
Pelle Hébuse;94; 99 ; 98 ; 1
Pelle Hébuse;94; 98 ; 97 ; 1
Pelle Hébuse;94; 97 ; 96 ; 1
Pelle Hébuse;94; 96 ; 95 ; 1
Pelle Hébuse;94; 95 ; 94 ; 1
Pelle Hébuse;94; 94 ; 94 ; 1
Pelle Hébuse;94; 94 ; 93 ; 1
Pelle Hébuse;94; 93 ; 92 ; 1
Pelle Hébuse;94; 92 ; 91 ; 1
Pelle Hébuse;94; 91 ; 90 ; 1
Pelle Hébuse;94; 90 ; 90 ; 1
Pelle Hébuse;94; 90 ; 89 ; 1
Pelle Hébuse;94; 89 ; 88 ; 1
Pelle Hébuse;94; 88 ; 88 ; 1
Pelle Hébuse;94; 88 ; 87 ; 1
Pelle Hébuse;94; 87 ; 86 ; 1
Pelle Hébuse;94; 86 ; 85 ; 1
Pelle Hébuse;94; 85 ; 85 ; 1
Pelle Hébuse;94; 85 ; 84 ; 1
Pelle Hébuse;94; 84 ; 83 ; 1
Pelle Hébuse;94; 83 ; 83 ; 1
Pelle Hébuse;94; 83 ; 82 ; 1
Pelle Hébuse;94; 82 ; 82 ; 1
Pelle Hébuse;94; 82 ; 81 ; 1
Pelle Hébuse;94; 81 ; 80 ; 1
Pelle Hébuse;94; 80 ; 80 ; 1
Pelle Hébuse;94; 80 ; 79 ; 1
Pelle Hébuse;94; 79 ; 79 ; 1
Pelle Hébuse;94; 79 ; 78 ; 1
Pelle Hébuse;94; 78 ; 78 ; 1
Pelle Hébuse;94; 78 ; 77 ; 1
Pelle Hébuse;94; 77 ; 76 ; 1
Pelle Hébuse;94; 76 ; 76 ; 1
Pelle Hébuse;94; 76 ; 75 ; 1
Pelle Hébuse;94; 75 ; 75 ; 1
Pelle Hébuse;94; 75 ; 74 ; 1
Pelle Hébuse;94; 74 ; 74 ; 1
Pelle Hébuse;94; 74 ; 73 ; 1

Le Ours;35; 73 ; 73 ; 1
Le Ours;35; 73 ; 73 ; 1
Le Ours;35; 73 ; 73 ; 1
Le Ours;35; 73 ; 72 ; 1
Le Ours;35; 72 ; 72 ; 1
Le Ours;35; 72 ; 72 ; 1
Le Ours;35; 72 ; 72 ; 1
Le Ours;35; 72 ; 72 ; 1
Le Ours;35; 72 ; 72 ; 1
Le Ours;35; 72 ; 71 ; 2
Le Ours;35; 71 ; 71 ; 1
Le Ours;35; 71 ; 71 ; 1
Le Ours;35; 71 ; 71 ; 1
Le Ours;35; 71 ; 70 ; 2
Le Ours;35; 70 ; 70 ; 1
Le Ours;35; 70 ; 70 ; 1
Le Ours;35; 70 ; 70 ; 1
Le Ours;35; 70 ; 70 ; 1
Le Ours;35; 70 ; 69 ; 1
Le Ours;35; 69 ; 69 ; 1
Le Ours;35; 69 ; 69 ; 1
Le Ours;35; 69 ; 69 ; 1
Le Ours;35; 69 ; 69 ; 1
Le Ours;35; 69 ; 68 ; 1
Le Ours;35; 68 ; 68 ; 1
Le Ours;35; 68 ; 68 ; 1
